year,country_destination_id,import_val
2008,COD,37378.29
2008,COM,2932
2008,EGY,9081469.28
2008,ETH,588207.25
2008,GAB,1804
2008,GHA,3057708.3
2008,GNB,2332.91
2008,KEN,134080.75
2008,LBY,10500
2008,MAR,224787.89
2008,MDG,26096
2008,MRT,184639.83
2008,MWI,714512
2008,NER,2860
2008,NGA,2543.94
2008,RWA,136749
2008,SDN,3750
2008,SEN,6347.43
2008,SYC,124731
2008,TUN,223014
2008,TZA,61503.09
2008,UGA,345386.14
2008,ZAF,8504334.23
2008,ZMB,255473
2008,ARE,69413639.29
2008,BGD,270842
2008,BHR,659842.35
2008,CHN,363627670.2
2008,CYP,1749951.58
2008,GEO,120629687.1
2008,HKG,10123222.73
2008,IDN,34523862.64
2008,IND,48929645.53
2008,IRN,190993220.1
2008,IRQ,43473.74
2008,ISR,27633616.63
2008,JOR,248238.98
2008,JPN,77716709.22
2008,KAZ,17139793.71
2008,KGZ,45609.77
2008,KHM,169168
2008,KOR,80113607.41
2008,KWT,618424.55
2008,LAO,8995.38
2008,LBN,8879214.17
2008,LKA,9972078.25
2008,MMR,1522
2008,MNG,48099
2008,MYS,14000899.71
2008,NPL,1017
2008,OMN,774287.42
2008,PAK,3684044.89
2008,PHL,1875557.4
2008,PRK,46222
2008,QAT,419347.15
2008,SAU,2387495.26
2008,SGP,4429907.1
2008,SYR,6084145.63
2008,THA,21357788.75
2008,TJK,27201
2008,TKM,34855569.7
2008,TUR,263027759.6
2008,UZB,10528264.15
2008,VNM,11153449.31
2008,XXB,9064100.68
2008,YEM,77363
2008,ALB,278788.6
2008,AND,38075
2008,AUT,287036549.4
2008,BGR,94536145.53
2008,BIH,11293
2008,BLR,29169333.83
2008,BLX,68383585.28
2008,CHE,34815010.7
2008,CZE,32434388.95
2008,DEU,158490158.3
2008,DNK,8595023.64
2008,ESP,37754600.01
2008,EST,1483734.21
2008,FIN,15622316.42
2008,FRA,170123562.9
2008,GBR,34953817.16
2008,GRC,38156159.35
2008,HRV,1736542.13
2008,HUN,31007553.95
2008,IRL,5587423.45
